target,baseline_id,outer_fold,config_id,threshold,inner_f1,inner_precision,inner_recall,selected
success,B3,3,B3_T2_C0p1_cw_none,0.5,0.0,0.0,0.0,False
success,B3,3,B3_T2_C0p1_cw_none,0.55,0.0,0.0,0.0,False
success,B3,3,B3_T2_C0p1_cw_none,0.6,0.0,0.0,0.0,False
success,B3,3,B3_T2_C0p1_cw_none,0.65,0.0,0.0,0.0,False
success,B3,3,B3_T2_C0p1_cw_none,0.7,0.0,0.0,0.0,False
success,B3,3,B3_T2_C0p1_cw_none,0.75,0.0,0.0,0.0,False
success,B3,3,B3_T2_C0p1_cw_none,0.8,0.0,0.0,0.0,False
success,B3,3,B3_T2_C0p1_cw_none,0.85,0.0,0.0,0.0,False
success,B3,3,B3_T2_C0p1_cw_none,0.9,0.0,0.0,0.0,False
success,B3,3,B3_T2_C0p1_cw_none,0.95,0.0,0.0,0.0,False
success,B3,4,B3_T2_C10p0_cw_none,0.05,0.47368421052631576,0.3103448275862069,1.0,False
success,B3,4,B3_T2_C10p0_cw_none,0.1,0.6956521739130435,0.5714285714285714,0.8888888888888888,False
success,B3,4,B3_T2_C10p0_cw_none,0.15,0.7272727272727273,0.6153846153846154,0.8888888888888888,False
success,B3,4,B3_T2_C10p0_cw_none,0.2,0.8421052631578947,0.8,0.8888888888888888,False
success,B3,4,B3_T2_C10p0_cw_none,0.25,0.8888888888888888,0.8888888888888888,0.8888888888888888,True
success,B3,4,B3_T2_C10p0_cw_none,0.3,0.8,1.0,0.6666666666666666,False
success,B3,4,B3_T2_C10p0_cw_none,0.35,0.8,1.0,0.6666666666666666,False
success,B3,4,B3_T2_C10p0_cw_none,0.4,0.8,1.0,0.6666666666666666,False
